FID,XY,XY_ORG,LOCATIE_CODE,CREATED_BY,CREATED_DATE
locaties.1992,POINT (574928 6011948),POINT (4.15 54.25),NRDZE_0152,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.1993,POINT (576788 6030527),POINT (4.18333 54.41667),NRDZE_0153,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.1994,POINT (576508 6047216),POINT (4.18333 54.56667),NRDZE_0154,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.1995,POINT (578249 6008294),POINT (4.2 54.21667),NRDZE_0155,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.1996,POINT (580521 6063981),POINT (4.25 54.71667),NRDZE_0156,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.1997,POINT (589948 6021491),POINT (4.38333 54.33333),NRDZE_0157,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.1998,POINT (591107 6071601),POINT (4.41667 54.78333),NRDZE_0158,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.1999,POINT (594130 6028996),POINT (4.45 54.4),NRDZE_0159,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2000,POINT (595655 5843548),POINT (4.41667 52.73333),NRDZE_0119,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2001,POINT (595290 5862086),POINT (4.41667 52.9),NRDZE_0120,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2002,POINT (603538 5869675),POINT (4.54167 52.96667),NRDZE_0121,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2003,POINT (621985 5914627),POINT (4.83333 53.36667),NRDZE_0123,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2004,POINT (668050 5945729),POINT (5.54167 53.63333),NRDZE_0125,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2005,POINT (517360 5703605),POINT (3.25 51.48333),NRDZE_0160,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2006,POINT (524312 5701781),POINT (3.35 51.46667),NRDZE_0162,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2007,POINT (517048 5710092),POINT (3.24583 51.54167),NRDZE_0163,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2008,POINT (523137 5705482),POINT (3.33333 51.5),NRDZE_0165,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2009,POINT (525479 5699932),POINT (3.36667 51.45),NRDZE_0166,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2010,POINT (531179 5714793),POINT (3.45 51.58333),NRDZE_0168,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2011,POINT (540387 5718566),POINT (3.58333 51.61667),NRDZE_0169,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2012,POINT (521949 5712891),POINT (3.31667 51.56667),NRDZE_0171,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2013,POINT (535732 5724092),POINT (3.51667 51.66667),NRDZE_0172,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2014,POINT (539118 5733385),POINT (3.56667 51.75),NRDZE_0174,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2015,POINT (550549 5740902),POINT (3.73333 51.81667),NRDZE_0175,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2016,POINT (559651 5748417),POINT (3.86667 51.88333),NRDZE_0177,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2017,POINT (564144 5755889),POINT (3.93333 51.95),NRDZE_0178,HWS_ADK_SGG,2021-12-03T15:55:27.067
locaties.2018,POINT (720898 5936772),POINT (6.33333 53.53333),NRDZE_0180,HWS_ADK_SGG,2021-12-03T15:55:55.838
locaties.2019,POINT (636626 5801165),POINT (5.0056650639825 52.3437479898933),IJMR_0001,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2020,POINT (641041 5800761),POINT (5.07026788818137 52.3389953723978),IJMR_0006,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2021,POINT (659275 5880621),POINT (5.37633781394157 53.0513322833348),IJSMR_0003,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2022,POINT (646801 5856478),POINT (5.17944561998477 52.8380241150574),IJSMR_0009,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2023,POINT (671251 5843282),POINT (5.53518490665002 52.7122985423519),IJSMR_0014,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2024,POINT (655094 5847749),POINT (5.2983310872189 52.7572917707965),IJSMR_0019,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2025,POINT (658786 5796644),POINT (5.32856953895235 52.2971630070523),EEMMR_0004,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2026,POINT (650165 5800643),POINT (5.20402775886431 52.3355120872555),GOOIM_0001,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2027,POINT (610005.162646652 5834728.89079092),POINT (10349900 51847900),BERGAZSAM,HWS_DONAR_SGG,2021-04-06T20:15:20.984
locaties.2028,POINT (601592.998670527 5797976.45904742),POINT (9387600 48201700),NOORDWKSAM,HWS_DONAR_SGG,2021-04-06T20:15:23.919
locaties.2029,POINT (538587.500974847 5715470.91840843),POINT (2817500 40160000),VEERESAM,HWS_DONAR_SGG,2021-04-06T20:15:25.813
locaties.2030,POINT (658918.784504246 5922111.90532238),POINT (15530000 60420000),TERSLGSAM,HWS_DONAR_SGG,2021-04-06T20:15:28.883
locaties.2031,POINT (647374 5797825),POINT (5.16186774677419 52.3109569062087),GOOIM_0009,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2032,POINT (690623 5832417),POINT (5.8153278279446 52.6082685699838),KETMR_0004,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2033,POINT (682850 5831459),POINT (5.70013550184972 52.602336938574),KETMR_0007,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2034,POINT (667077 5792297),POINT (5.4478829732039 52.2556564541935),NIJKN_0002,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2035,POINT (672668 5795306),POINT (5.53125439588852 52.2809565464989),NULDN_0001,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2036,POINT (689406 5812440),POINT (5.78599748466999 52.4293061994001),VELWM_0002,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2037,POINT (682373 5806329),POINT (5.67934751247139 52.3768154319542),VELWM_0005,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2038,POINT (683767 5809776),POINT (5.701695227817 52.4073069456296),VELWM_0008,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2039,POINT (677941 5804870),POINT (5.61352576316406 52.3651769272423),VELWM_0022,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2040,POINT (676395 5801820),POINT (5.58925166414924 52.3382849769826),WOLDW_0005,HWS_ADK_SGG,2021-12-03T15:43:56.9
locaties.2041,POINT (676572 5803434),POINT (5.5926933159918 52.3527221771575),WOLDW_0010,HWS_ADK_SGG,2021-12-03T15:44:16.034
locaties.2042,POINT (623467 5733166),POINT (4.78805105814548 51.7357954031024),BRBSB_0006,HWS_ADK_SGG,2021-12-03T15:44:16.034
locaties.2043,POINT (627312 5735537),POINT (4.84457002755184 51.7562411109202),BRBSB_0009,HWS_ADK_SGG,2021-12-03T15:44:16.034
locaties.2044,POINT (626168 5731052),POINT (4.82636899151386 51.7161920012707),BRBSB_0012,HWS_ADK_SGG,2021-12-03T15:44:16.034
locaties.2045,POINT (580080 5737492),POINT (4.16088768584932 51.7825637095239),HARVT_0001,HWS_ADK_SGG,2021-12-03T15:44:16.034
locaties.2046,POINT (583553 5739350),POINT (4.21167004082182 51.7987519060018),HARVT_0004,HWS_ADK_SGG,2021-12-03T15:44:16.034
locaties.2047,POINT (596920 5730884),POINT (4.40309861630602 51.7205028711538),HARVT_0009,HWS_ADK_SGG,2021-12-03T15:44:16.034
locaties.2048,POINT (585643 5734467),POINT (4.24077529051295 51.7545434960697),HARVT_0012,HWS_ADK_SGG,2021-12-03T15:44:16.034
locaties.2049,POINT (578993 5739199),POINT (4.14551866701233 51.7980613628053),HARVT_0016,HWS_ADK_SGG,2021-12-03T15:44:16.034
