date,STN,temp_gem,temp_max,temp_min,vocht_gem,vocht_max,vocht_min,neerslag_som,neerslag_max,wind_gem,wind_max,wind_min,brand,sum_brand,Saturated Vapor Pressure (Es),Vapor Pressure (E),VPD,HDWI,HDWI_gust,temp_gem_som_3,temp_gem_som_7,vocht_gem_som_3,vocht_gem_som_7,neerslag_som_3,neerslag_som_7
2024-10-27 00:00:00+02:00,290,11.2,16.8,6.1,91.0,99.0,66.0,0.025,0.025,1.9,7.0,0.0,0,0,13.279497934201151,12.08434312012305,1.1951548140781032,2.270794146748396,8.366083698546722,37.50000000000005,81.9,273.0,639.0,2.15,9.499999999999943
2019-07-18 00:00:00+02:00,290,19.8,26.6,10.6,64.0,97.0,38.0,0.025,0.025,3.5,9.0,1.0,1,1,23.038860913481667,14.744870984628268,8.2939899288534,29.028964750986898,74.64590935968059,52.40000000000002,116.40000000000002,218.0,531.0,0.075,2.499999999999961
2021-10-01 00:00:00+02:00,290,14.2,18.8,11.1,70.0,95.0,52.0,3.1,1.0,5.9,16.0,4.0,0,0,16.160981203028953,11.312686842120266,4.848294360908687,28.604936729361256,77.57270977453899,36.60000000000002,99.8,235.0,576.0,11.700000000000006,14.274999999999954
2022-12-28 00:00:00+01:00,290,8.2,10.8,5.1,90.0,94.0,78.0,4.6,0.6,7.2,15.0,6.0,0,0,10.86074135697881,9.774667221280929,1.0860741356978814,7.819733777024746,16.29111203546822,19.60000000000003,54.60000000000001,261.0,631.0,5.525000000000007,29.72499999999996
2023-10-04 00:00:00+02:00,290,13.9,16.8,11.2,80.0,92.0,70.0,0.025,0.025,4.9,12.0,3.0,0,0,15.849979738077067,12.679983790461655,3.169995947615414,15.532980143315529,38.039951371384966,47.700000000000045,113.4,246.0,569.0,4.550000000000003,8.024999999999961
2025-01-10 00:00:00+01:00,290,1.4,4.2,-3.0,89.0,98.0,76.0,0.4,0.3,4.2,11.0,0.0,0,0,6.760774234235646,6.0170890684697245,0.7436851657659211,3.123477696216869,8.180536823425133,4.100000000000053,22.10000000000001,272.0,625.0,2.9000000000000004,25.524999999999945
2022-12-18 00:00:00+01:00,290,-3.4,0.6,-9.7,80.0,93.0,69.0,0.3,0.1,3.2,8.0,1.0,0,0,4.7604672519506535,3.808373801560523,0.9520934503901306,3.0466990412484183,7.616747603121045,-8.19999999999997,-23.999999999999996,266.0,611.0,0.3500000000000075,0.4499999999999573
2022-08-10 00:00:00+02:00,290,21.8,29.9,11.1,54.0,96.0,24.0,0.025,0.025,2.8,9.0,1.0,1,1,26.05438559029862,14.069368218761255,11.985017371537364,33.55804864030462,107.86515634383628,59.00000000000003,131.5,186.0,450.0,0.075,7.824999999999956
2021-01-12 00:00:00+01:00,290,4.5,7.1,-0.1,89.0,97.0,71.0,11.1,2.0,4.8,13.0,3.0,0,0,8.418759045965126,7.492695550908962,0.926063495056164,4.445104776269588,12.038825435730134,9.400000000000022,14.800000000000008,275.0,654.0,13.800000000000006,18.49999999999996
2024-03-31 00:00:00+01:00,290,11.0,17.4,2.3,83.0,98.0,55.0,3.0,1.6,2.8,11.0,1.0,0,0,13.104616625999864,10.876831799579888,2.227784826419977,6.237797513975937,24.505633090619757,32.80000000000005,65.70000000000002,236.0,519.0,5.400000000000002,8.32499999999996
2019-08-17 00:00:00+02:00,290,17.8,19.8,16.4,88.0,98.0,75.0,11.0,4.0,4.1,11.0,2.0,0,0,20.333972125148765,17.893895470130914,2.440076655017851,10.004314285573187,26.84084320519636,52.800000000000026,119.3,243.0,524.0,13.700000000000015,29.82499999999996
2019-07-07 00:00:00+02:00,290,13.5,19.2,7.7,70.0,97.0,44.0,0.025,0.025,3.1,10.0,1.0,0,0,15.443509519051812,10.810456663336268,4.633052855715544,14.362463852718186,46.33052855715544,48.90000000000003,114.10000000000002,210.0,463.0,1.8500000000000176,1.9499999999999609
2021-04-27 00:00:00+02:00,290,8.6,14.7,1.5,46.0,82.0,27.0,0.025,0.025,3.7,11.0,2.0,0,0,11.158933477857238,5.133109399814329,6.025824078042908,22.29554908875876,66.284064858472,21.800000000000026,48.400000000000006,166.0,436.0,0.075,0.175
2025-01-30 00:00:00+01:00,290,4.5,6.5,0.8,96.0,99.0,92.0,3.8,1.1,2.0,5.0,0.0,0,0,8.418759045965126,8.08200868412652,0.3367503618386056,0.6735007236772113,1.683751809193028,19.40000000000005,45.10000000000001,260.0,607.0,8.600000000000001,26.299999999999947
2019-09-21 00:00:00+02:00,290,15.2,22.6,5.4,60.0,89.0,37.0,0.025,0.025,2.8,8.0,1.0,0,0,17.23678267781505,10.34206960668903,6.89471307112602,19.30519659915285,55.15770456900816,34.60000000000003,83.10000000000001,213.0,545.0,0.075,11.52499999999996
2024-04-01 00:00:00+02:00,290,9.6,12.9,6.9,86.0,97.0,67.0,7.0,2.5,3.2,12.0,0.0,0,0,11.936247607669538,10.265172942595802,1.6710746650737356,5.347438928235954,20.052895980884827,31.600000000000044,68.4,250.0,535.0,10.800000000000002,15.22499999999996
2022-06-16 00:00:00+02:00,290,16.7,23.7,6.8,64.0,97.0,40.0,0.025,0.025,2.3,8.0,0.0,0,0,18.96858642993011,12.13989531515527,6.82869111477484,15.70598956398213,54.62952891819872,48.60000000000002,112.9,187.0,471.0,0.075,1.1499999999999555
2021-01-22 00:00:00+01:00,290,3.8,9.2,-0.3,88.0,95.0,75.0,3.9,2.7,4.9,14.0,2.0,0,0,8.015833727746033,7.053933680416509,0.9619000473295244,4.71331023191467,13.46660066261334,20.40000000000002,33.20000000000001,233.0,601.0,12.325000000000008,29.32499999999996
